id,supplier,location,overdue_hours
KLT-000001,SUP-057,WH-02,0
KLT-000002,SUP-144,WH-01,0
KLT-000003,SUP-198,Carrier,0
KLT-000004,SUP-024,WH-02,0
KLT-000005,SUP-082,WH-01,0
KLT-000006,SUP-153,Supplier,0
KLT-000007,SUP-127,WH-01,0
KLT-000008,SUP-053,WH-02,0
KLT-000009,SUP-071,WH-01,0
KLT-000010,SUP-051,Supplier,0
KLT-000011,SUP-058,Carrier,0
KLT-000012,SUP-157,Supplier,0
KLT-000013,SUP-082,WH-02,0
KLT-000014,SUP-040,Supplier,0
KLT-000015,SUP-080,Carrier,0
KLT-000016,SUP-124,WH-02,0
KLT-000017,SUP-055,WH-02,45
KLT-000018,SUP-097,Carrier,0
KLT-000019,SUP-001,Carrier,0
KLT-000020,SUP-036,Supplier,0
KLT-000021,SUP-041,WH-02,0
KLT-000022,SUP-038,Carrier,0
KLT-000023,SUP-167,WH-02,0
KLT-000024,SUP-044,Supplier,0
KLT-000025,SUP-084,WH-02,0
KLT-000026,SUP-016,WH-01,0
KLT-000027,SUP-125,WH-01,0
KLT-000028,SUP-153,Supplier,0
KLT-000029,SUP-013,WH-01,0
KLT-000030,SUP-116,WH-01,0
KLT-000031,SUP-086,Supplier,0
KLT-000032,SUP-193,Supplier,0
KLT-000033,SUP-157,Supplier,0
KLT-000034,SUP-182,WH-01,0
KLT-000035,SUP-114,Carrier,0
KLT-000036,SUP-030,WH-02,0
KLT-000037,SUP-167,WH-02,0
KLT-000038,SUP-126,WH-02,0
KLT-000039,SUP-035,WH-01,0
KLT-000040,SUP-110,Supplier,0
KLT-000041,SUP-190,WH-02,0
KLT-000042,SUP-020,WH-01,0
KLT-000043,SUP-167,WH-02,0
KLT-000044,SUP-177,Supplier,0
KLT-000045,SUP-071,Carrier,0
KLT-000046,SUP-073,WH-02,0
KLT-000047,SUP-137,Supplier,0
KLT-000048,SUP-067,Supplier,0
KLT-000049,SUP-027,WH-02,0
KLT-000050,SUP-014,WH-01,0
KLT-000051,SUP-069,WH-01,0
KLT-000052,SUP-127,WH-01,0
KLT-000053,SUP-133,Carrier,0
KLT-000054,SUP-150,WH-01,0
