id,dock,departure,label_success,total_labels,staged_units,vehicle_capacity_kg,total_load_kg,carrier
DSP-00001,Dock 5,2026-07-21 11:24:34+00:00,12,12,88,15387,11614,Carrier-01
DSP-00002,Dock 9,2026-07-20 10:18:34+00:00,12,12,182,9136,4717,Carrier-04
DSP-00003,Dock 7,2026-07-20 15:36:34+00:00,7,12,149,9794,5853,Carrier-11
DSP-00004,Dock 7,2026-07-20 20:49:34+00:00,12,12,119,16114,9547,Carrier-08
DSP-00005,Dock 11,2026-07-20 11:45:34+00:00,12,12,116,13160,8890,Carrier-10
DSP-00006,Dock 11,2026-07-21 04:42:34+00:00,12,12,174,10978,8466,Carrier-09
DSP-00007,Dock 3,2026-07-21 09:58:34+00:00,12,12,163,15175,12349,Carrier-19
DSP-00008,Dock 7,2026-07-20 15:26:34+00:00,12,12,123,9069,6542,Carrier-15
DSP-00009,Dock 9,2026-07-20 14:19:34+00:00,12,12,214,16327,13617,Carrier-01
DSP-00010,Dock 7,2026-07-21 08:40:34+00:00,12,12,141,9385,5898,Carrier-22
DSP-00011,Dock 5,2026-07-21 01:34:34+00:00,12,12,164,17723,15538,Carrier-17
DSP-00012,Dock 7,2026-07-20 18:21:34+00:00,12,12,209,9575,6559,Carrier-17
DSP-00013,Dock 11,2026-07-21 07:15:34+00:00,12,12,82,8190,4473,Carrier-18
DSP-00014,Dock 3,2026-07-21 03:04:34+00:00,12,12,179,12434,8585,Carrier-05
DSP-00015,Dock 3,2026-07-20 18:44:34+00:00,12,12,118,11163,8447,Carrier-06
DSP-00016,Dock 9,2026-07-21 04:21:34+00:00,12,12,179,9246,5568,Carrier-18
DSP-00017,Dock 11,2026-07-20 13:01:34+00:00,12,12,86,9791,6299,Carrier-05
DSP-00018,Dock 11,2026-07-21 06:49:34+00:00,12,12,147,9528,5639,Carrier-07
DSP-00019,Dock 5,2026-07-20 19:00:34+00:00,12,12,212,14395,10716,Carrier-12
DSP-00020,Dock 5,2026-07-21 01:18:34+00:00,12,12,167,10943,6531,Carrier-05
DSP-00021,Dock 3,2026-07-20 12:56:34+00:00,12,12,134,11600,6721,Carrier-20
DSP-00022,Dock 11,2026-07-21 07:52:34+00:00,12,12,133,16402,8921,Carrier-12
DSP-00023,Dock 3,2026-07-21 04:50:34+00:00,12,12,158,14000,8387,Carrier-14
DSP-00024,Dock 11,2026-07-20 18:59:34+00:00,12,12,96,14256,11745,Carrier-22
DSP-00025,Dock 9,2026-07-20 12:23:34+00:00,12,12,71,12352,6623,Carrier-18
DSP-00026,Dock 7,2026-07-21 10:48:34+00:00,12,12,81,17965,8661,Carrier-01
DSP-00027,Dock 7,2026-07-20 17:31:34+00:00,12,12,179,14686,12412,Carrier-18
DSP-00028,Dock 7,2026-07-21 00:00:34+00:00,12,12,111,16259,11692,Carrier-22
DSP-00029,Dock 11,2026-07-20 22:05:34+00:00,12,12,72,8295,6986,Carrier-13
DSP-00030,Dock 11,2026-07-21 11:31:34+00:00,12,12,202,14352,12178,Carrier-14
DSP-00031,Dock 9,2026-07-20 19:52:34+00:00,12,12,87,10358,8558,Carrier-15
DSP-00032,Dock 3,2026-07-21 05:13:34+00:00,12,12,180,11911,9294,Carrier-15
DSP-00033,Dock 5,2026-07-21 00:39:34+00:00,12,12,127,9191,7151,Carrier-21
DSP-00034,Dock 9,2026-07-21 10:46:34+00:00,12,12,124,15560,8591,Carrier-20
DSP-00035,Dock 5,2026-07-20 23:07:34+00:00,12,12,181,9191,6283,Carrier-19
DSP-00036,Dock 7,2026-07-20 21:44:34+00:00,12,12,121,12665,7571,Carrier-22
DSP-00037,Dock 3,2026-07-21 11:20:34+00:00,12,12,189,13346,9794,Carrier-16
DSP-00038,Dock 9,2026-07-20 14:16:34+00:00,12,12,211,7018,3843,Carrier-05
DSP-00039,Dock 7,2026-07-21 01:55:34+00:00,12,12,219,15840,7274,Carrier-10
DSP-00040,Dock 9,2026-07-20 11:15:34+00:00,12,12,205,10647,8658,Carrier-19
DSP-00041,Dock 3,2026-07-20 19:23:34+00:00,12,12,82,13622,9185,Carrier-07
DSP-00042,Dock 11,2026-07-20 11:15:34+00:00,12,12,156,13543,7676,Carrier-07
DSP-00043,Dock 9,2026-07-21 02:30:34+00:00,12,12,214,13655,6492,Carrier-11
DSP-00044,Dock 3,2026-07-20 09:49:34+00:00,12,12,202,12673,8654,Carrier-15
DSP-00045,Dock 9,2026-07-20 23:47:34+00:00,12,12,130,13625,10057,Carrier-21
DSP-00046,Dock 9,2026-07-20 18:46:34+00:00,12,12,117,16202,8560,Carrier-14
DSP-00047,Dock 5,2026-07-20 12:41:34+00:00,12,12,180,9872,5730,Carrier-01
DSP-00048,Dock 9,2026-07-21 09:12:34+00:00,12,12,99,16571,13944,Carrier-09
DSP-00049,Dock 11,2026-07-20 13:32:34+00:00,12,12,208,15443,12867,Carrier-06
DSP-00050,Dock 5,2026-07-21 02:33:34+00:00,12,12,212,15085,12849,Carrier-14
DSP-00051,Dock 7,2026-07-21 04:55:34+00:00,12,12,137,7167,4807,Carrier-18
DSP-00052,Dock 3,2026-07-21 08:38:34+00:00,12,12,95,16092,13111,Carrier-21
DSP-00053,Dock 7,2026-07-20 21:57:34+00:00,12,12,131,10074,4903,Carrier-04
DSP-00054,Dock 5,2026-07-21 02:11:34+00:00,12,12,190,10565,7470,Carrier-14
DSP-00055,Dock 11,2026-07-21 02:43:34+00:00,12,12,103,15661,9958,Carrier-05
DSP-00056,Dock 9,2026-07-20 23:27:34+00:00,12,12,77,15405,7381,Carrier-05
DSP-00057,Dock 3,2026-07-21 11:48:34+00:00,12,12,196,8564,5842,Carrier-11
DSP-00058,Dock 5,2026-07-21 07:03:34+00:00,12,12,177,17958,13217,Carrier-08
DSP-00059,Dock 7,2026-07-20 16:06:34+00:00,12,12,80,7279,6129,Carrier-13
DSP-00060,Dock 5,2026-07-21 10:37:34+00:00,12,12,188,11434,6998,Carrier-07
DSP-00061,Dock 11,2026-07-20 18:36:34+00:00,12,12,125,12998,10798,Carrier-16
DSP-00062,Dock 5,2026-07-20 10:47:34+00:00,12,12,75,12464,7732,Carrier-07
DSP-00063,Dock 5,2026-07-20 18:35:34+00:00,12,12,202,8777,7255,Carrier-16
DSP-00064,Dock 7,2026-07-21 10:59:34+00:00,12,12,95,14309,11077,Carrier-05
DSP-00065,Dock 9,2026-07-20 19:58:34+00:00,12,12,130,17276,13017,Carrier-10
DSP-00066,Dock 3,2026-07-21 09:35:34+00:00,12,12,76,14059,9108,Carrier-16
DSP-00067,Dock 9,2026-07-21 07:05:34+00:00,12,12,83,9737,6638,Carrier-19
DSP-00068,Dock 5,2026-07-20 11:46:34+00:00,12,12,192,7682,4909,Carrier-11
DSP-00069,Dock 9,2026-07-20 09:49:34+00:00,12,12,91,14712,10059,Carrier-22
DSP-00070,Dock 7,2026-07-20 10:47:34+00:00,12,12,71,16185,7814,Carrier-17
DSP-00071,Dock 3,2026-07-20 18:15:34+00:00,12,12,114,17712,12668,Carrier-13
DSP-00072,Dock 7,2026-07-20 18:35:34+00:00,12,12,144,16718,8472,Carrier-01
DSP-00073,Dock 9,2026-07-20 15:46:34+00:00,12,12,123,7840,6343,Carrier-15
DSP-00074,Dock 11,2026-07-20 18:08:34+00:00,12,12,89,10136,5501,Carrier-20
DSP-00075,Dock 11,2026-07-21 01:59:34+00:00,12,12,138,14923,10906,Carrier-11
DSP-00076,Dock 7,2026-07-20 12:17:34+00:00,12,12,117,11456,9889,Carrier-12
DSP-00077,Dock 5,2026-07-20 14:11:34+00:00,12,12,129,7775,5626,Carrier-17
DSP-00078,Dock 7,2026-07-20 12:45:34+00:00,12,12,84,9746,7529,Carrier-21
DSP-00079,Dock 9,2026-07-20 14:41:34+00:00,12,12,129,12626,10976,Carrier-12
DSP-00080,Dock 7,2026-07-20 21:36:34+00:00,12,12,190,9535,7754,Carrier-19
DSP-00081,Dock 11,2026-07-21 06:38:34+00:00,12,12,74,16549,11538,Carrier-02
DSP-00082,Dock 7,2026-07-20 23:09:34+00:00,12,12,151,12208,6731,Carrier-20
DSP-00083,Dock 11,2026-07-21 11:37:34+00:00,12,12,196,14660,7291,Carrier-05
DSP-00084,Dock 5,2026-07-21 11:47:34+00:00,12,12,96,10687,9231,Carrier-01
DSP-00085,Dock 9,2026-07-21 11:31:34+00:00,12,12,86,14286,6710,Carrier-12
DSP-00086,Dock 5,2026-07-21 03:30:34+00:00,12,12,125,12090,9161,Carrier-09
DSP-00087,Dock 11,2026-07-21 06:30:34+00:00,12,12,88,11935,8692,Carrier-21
DSP-00088,Dock 5,2026-07-20 15:13:34+00:00,12,12,131,16477,11720,Carrier-20
DSP-00089,Dock 7,2026-07-20 15:16:34+00:00,12,12,177,13283,11300,Carrier-10
DSP-00090,Dock 7,2026-07-20 16:57:34+00:00,12,12,102,17153,9105,Carrier-13
DSP-00091,Dock 7,2026-07-21 12:03:34+00:00,12,12,103,11268,7465,Carrier-16
DSP-00092,Dock 3,2026-07-21 08:48:34+00:00,12,12,152,10884,6838,Carrier-19
DSP-00093,Dock 9,2026-07-21 09:39:34+00:00,12,12,190,7624,3881,Carrier-19
DSP-00094,Dock 7,2026-07-21 01:33:34+00:00,12,12,73,12897,9969,Carrier-11
DSP-00095,Dock 7,2026-07-20 18:25:34+00:00,12,12,84,9694,5467,Carrier-15
DSP-00096,Dock 5,2026-07-20 17:19:34+00:00,12,12,82,8149,4908,Carrier-02
DSP-00097,Dock 11,2026-07-20 18:23:34+00:00,12,12,117,11838,9418,Carrier-07
DSP-00098,Dock 11,2026-07-20 20:17:34+00:00,12,12,93,8746,4044,Carrier-12
DSP-00099,Dock 11,2026-07-20 19:32:34+00:00,12,12,137,17278,14276,Carrier-15
DSP-00100,Dock 7,2026-07-21 10:37:34+00:00,12,12,203,13760,8142,Carrier-08
DSP-00101,Dock 11,2026-07-20 20:49:34+00:00,12,12,163,11541,8300,Carrier-19
DSP-00102,Dock 3,2026-07-20 17:04:34+00:00,12,12,206,17502,15119,Carrier-09
DSP-00103,Dock 11,2026-07-20 16:42:34+00:00,12,12,156,15387,11783,Carrier-09
DSP-00104,Dock 5,2026-07-21 07:02:34+00:00,12,12,192,13002,7079,Carrier-12
DSP-00105,Dock 7,2026-07-21 02:55:34+00:00,12,12,183,15637,10365,Carrier-12
DSP-00106,Dock 5,2026-07-20 12:24:34+00:00,12,12,81,14547,8362,Carrier-09
