id,sku,batch,ppap_attached,vda_attached,type
DOC-00001,FL-8587-2603,B-241,True,True,Cycle count
DOC-00002,EL-5077-124,B-480,True,True,VDA
DOC-00003,IN-3438-1075,B-479,True,True,Invoice
DOC-00004,IN-4218-1113,B-132,True,True,PPAP
DOC-00005,IN-3678-2200,B-198,True,True,ASN
DOC-00006,FL-4674-3421,B-633,True,True,Cycle count
DOC-00007,IN-6735-481,B-554,True,True,Invoice
DOC-00008,FL-1811-2337,B-690,True,True,PPAP
DOC-00009,FL-9696-4758,B-258,True,True,VDA
DOC-00010,PO-6312-2016,B-480,True,True,PPAP
DOC-00011,EL-3784-1235,B-639,True,True,Cycle count
DOC-00012,EL-4605-3550,B-651,True,True,ASN
DOC-00013,PO-8855-4402,B-275,True,True,Cycle count
DOC-00014,FL-6531-4791,B-913,True,True,Invoice
DOC-00015,FL-1126-4501,B-242,True,True,Cycle count
DOC-00016,IN-8555-1013,B-899,True,True,Cycle count
DOC-00017,EL-4135-2554,B-558,True,True,VDA
DOC-00018,FL-4785-3772,B-682,True,True,Invoice
DOC-00019,EL-7438-3570,B-381,True,True,ASN
DOC-00020,CH-6860-4365,B-550,True,True,Invoice
DOC-00021,CH-8557-4409,B-445,True,True,VDA
DOC-00022,EL-7541-1572,B-447,True,True,Invoice
DOC-00023,EL-6126-3760,B-350,True,True,Invoice
DOC-00024,FL-4916-4163,B-424,True,True,Cycle count
DOC-00025,EL-3204-2436,B-942,True,True,VDA
DOC-00026,CH-5227-4969,B-411,True,True,ASN
DOC-00027,PO-5102-4141,B-930,True,True,ASN
DOC-00028,PO-4878-2373,B-194,True,True,ASN
DOC-00029,CH-9531-765,B-826,True,True,PPAP
DOC-00030,EL-3222-1829,B-830,True,True,VDA
DOC-00031,FL-7206-4625,B-169,True,True,Cycle count
DOC-00032,EL-1431-1434,B-761,True,True,VDA
DOC-00033,IN-1984-4580,B-309,True,True,PPAP
DOC-00034,CH-2814-3749,B-648,True,True,PPAP
DOC-00035,IN-7076-505,B-772,True,True,Invoice
DOC-00036,IN-9233-4418,B-672,True,True,Invoice
DOC-00037,IN-1296-4100,B-591,True,True,PPAP
DOC-00038,FL-2535-3278,B-858,True,True,PPAP
DOC-00039,FL-5763-073,B-721,True,True,ASN
DOC-00040,EL-3916-1889,B-842,True,True,PPAP
DOC-00041,CH-8441-2699,B-681,True,True,VDA
