id,supplier,sku,expected_qty,received_qty,expected_date,warehouse,quality_status
PO-000001,SUP-013,PO-2732-2372,616,615,2026-07-20,WH-01,accepted
PO-000002,SUP-121,IN-8343-2622,475,801,2026-07-06,WH-02,partial
PO-000003,SUP-114,EL-2098-3564,389,80,2026-07-20,WH-01,pending
PO-000004,SUP-174,EL-8203-1028,799,746,2026-08-06,WH-01,partial
PO-000005,SUP-121,EL-3570-3115,631,266,2026-07-15,WH-02,partial
PO-000006,SUP-123,CH-2974-4127,753,379,2026-07-31,WH-02,pending
PO-000007,SUP-013,EL-5714-4139,341,935,2026-07-26,WH-02,partial
PO-000008,SUP-198,FL-3912-424,530,802,2026-07-16,WH-02,partial
PO-000009,SUP-159,PO-5602-312,435,146,2026-07-25,WH-01,accepted
PO-000010,SUP-038,PO-3606-4697,501,173,2026-07-24,WH-01,accepted
PO-000011,SUP-057,FL-8001-2974,533,787,2026-08-03,WH-02,accepted
PO-000012,SUP-094,CH-8226-002,739,792,2026-07-13,WH-02,accepted
PO-000013,SUP-176,PO-1274-4178,71,884,2026-08-04,WH-02,accepted
PO-000014,SUP-043,PO-3418-2013,867,194,2026-07-07,WH-02,partial
PO-000015,SUP-052,EL-1852-3018,622,246,2026-07-07,WH-02,partial
PO-000016,SUP-072,CH-1509-2044,680,513,2026-07-12,WH-01,pending
PO-000017,SUP-109,IN-4977-1955,507,554,2026-08-03,WH-02,partial
PO-000018,SUP-075,PO-7313-730,599,760,2026-07-08,WH-01,accepted
PO-000019,SUP-173,CH-1270-346,994,526,2026-07-21,WH-02,accepted
PO-000020,SUP-005,PO-2386-3813,732,585,2026-07-30,WH-02,partial
PO-000021,SUP-052,CH-2777-1909,824,910,2026-07-13,WH-01,partial
PO-000022,SUP-160,EL-3003-1850,599,478,2026-07-11,WH-02,pending
PO-000023,SUP-185,IN-8200-1263,149,612,2026-07-16,WH-02,accepted
PO-000024,SUP-117,FL-7595-2149,110,265,2026-07-26,WH-02,accepted
PO-000025,SUP-171,PO-9835-4396,593,672,2026-07-21,WH-02,pending
PO-000026,SUP-131,EL-8139-1755,271,302,2026-07-26,WH-01,partial
PO-000027,SUP-107,PO-6993-4214,219,338,2026-07-08,WH-01,pending
PO-000028,SUP-103,PO-8933-2337,455,112,2026-08-06,WH-01,accepted
PO-000029,SUP-130,FL-1228-3258,317,997,2026-07-21,WH-02,pending
PO-000030,SUP-066,EL-8867-2942,275,270,2026-08-07,WH-01,partial
PO-000031,SUP-147,EL-6901-3429,506,562,2026-07-29,WH-02,accepted
PO-000032,SUP-022,FL-5439-2319,345,635,2026-07-06,WH-02,accepted
PO-000033,SUP-179,IN-6813-1870,698,618,2026-07-14,WH-02,accepted
PO-000034,SUP-007,CH-5770-3895,890,463,2026-08-07,WH-01,accepted
PO-000035,SUP-147,IN-4451-276,157,387,2026-07-20,WH-01,accepted
PO-000036,SUP-111,CH-3606-1788,477,138,2026-07-07,WH-02,accepted
PO-000037,SUP-106,CH-6771-068,894,861,2026-07-17,WH-01,accepted
PO-000038,SUP-046,FL-5108-3013,640,310,2026-08-04,WH-01,partial
PO-000039,SUP-113,EL-6387-145,703,92,2026-08-05,WH-01,accepted
PO-000040,SUP-135,IN-5486-2531,729,783,2026-08-02,WH-01,accepted
PO-000041,SUP-185,FL-1796-2511,257,976,2026-07-11,WH-02,accepted
PO-000042,SUP-013,EL-4694-1638,477,123,2026-07-14,WH-01,pending
PO-000043,SUP-051,IN-8098-398,291,634,2026-08-03,WH-02,accepted
PO-000044,SUP-099,FL-8160-4556,856,819,2026-07-26,WH-02,partial
PO-000045,SUP-025,FL-4624-1389,708,390,2026-07-23,WH-02,partial
PO-000046,SUP-164,PO-3213-1526,885,767,2026-08-07,WH-02,accepted
PO-000047,SUP-137,FL-4560-3213,874,969,2026-07-30,WH-02,accepted
PO-000048,SUP-014,IN-7813-2219,700,536,2026-08-05,WH-02,accepted
PO-000049,SUP-169,CH-2730-4134,990,393,2026-07-30,WH-01,partial
PO-000050,SUP-020,EL-3338-3766,418,312,2026-07-22,WH-02,accepted
PO-000051,SUP-067,CH-7935-4628,616,451,2026-07-31,WH-01,accepted
PO-000052,SUP-165,IN-1532-4207,256,465,2026-08-02,WH-02,partial
PO-000053,SUP-147,CH-4279-1583,210,1000,2026-07-06,WH-01,accepted
PO-000054,SUP-084,CH-1483-3065,760,872,2026-08-06,WH-01,partial
PO-000055,SUP-125,FL-8643-3047,584,452,2026-07-20,WH-01,accepted
PO-000056,SUP-026,FL-1044-3106,199,440,2026-07-21,WH-01,pending
PO-000057,SUP-159,EL-4951-204,687,581,2026-08-01,WH-01,accepted
PO-000058,SUP-195,FL-9085-3174,852,735,2026-07-15,WH-01,pending
PO-000059,SUP-002,CH-5163-3924,469,683,2026-07-11,WH-02,partial
PO-000060,SUP-081,CH-9154-1697,760,620,2026-07-12,WH-02,pending
PO-000061,SUP-074,FL-8901-2649,99,783,2026-08-04,WH-01,accepted
PO-000062,SUP-056,IN-3411-2668,979,913,2026-07-17,WH-02,accepted
PO-000063,SUP-052,EL-3240-297,65,94,2026-07-17,WH-01,accepted
PO-000064,SUP-014,CH-7917-2110,231,959,2026-07-22,WH-02,pending
PO-000065,SUP-041,CH-8446-3509,546,767,2026-07-15,WH-01,pending
PO-000066,SUP-132,PO-9829-4136,390,285,2026-07-14,WH-02,partial
PO-000067,SUP-161,FL-2898-2553,610,161,2026-08-03,WH-01,partial
PO-000068,SUP-158,PO-5357-3304,113,588,2026-07-08,WH-02,accepted
PO-000069,SUP-139,EL-9685-2034,617,695,2026-07-12,WH-02,pending
