id,sku,warehouse,zone,bin,wms,erp,tms,physical,allocated,last_count,vwgl_matstorloc_id,vwgl_matstorloc_valid_from,__operation_type,__timestamp,material,plant,storagelocation,maintenancestatus,deletionflag,fiscalyearofcurrentperiod,currentperiod,physicalinventoryblockingind,freeavailablestock,baseunit,stockintransfer,stockinqualityinspection,totalstockofallrestrbatches,blockedstock,blockedstockreturns,valunrestusestockprevper,stockintransferprevper,stockinqualityinsprevper,restrictedusestockprevper,blockedstockprevper,blockedstockreturnsprevper,dateoflastpostedcount,creationdate,instance,i_product,i_storagelocation,etl_aend_tstamp,sap_anchor,sap_source_id
INV-00001,0DD300040E,WH-02,HZ-02,HZ-02-15-1,0,0,0,0,0,2026-07-19 21:39:34+00:00,0DD300040E|1400|FBM1,2026-07-17 02:17:32.995343 UTC,L,2026-07-17 02:17:32.995343 UTC,0DD300040E,1400,FBM1,DL,,2023,02,,0,ST,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000,20230216,Kassel,0DD300040E,FBM1,2026-07-17 06:05:41.813636 UTC,True,0DD300040E|1400|FBM1
INV-00002,0DD300040E,WH-01,HZ-02,HZ-02-15-2,0,0,0,0,0,2026-07-20 03:18:34+00:00,0DD300040E|1400|XN12,2026-07-17 02:17:22.915108 UTC,L,2026-07-17 02:17:22.915108 UTC,0DD300040E,1400,XN12,DL,,2025,07,,0,ST,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000,20240514,Kassel,0DD300040E,XN12,2026-07-17 06:05:41.813636 UTC,True,0DD300040E|1400|XN12
INV-00003,0DD300046E,WH-02,JIS-07,JIS-07-15-3,0,0,0,0,0,2026-07-20 06:00:34+00:00,0DD300046E|1400|F6M1,2026-07-17 02:17:32.995343 UTC,L,2026-07-17 02:17:32.995343 UTC,0DD300046E,1400,F6M1,DL,,2024,04,,0,ST,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000,20230216,Kassel,0DD300046E,F6M1,2026-07-17 06:05:41.813636 UTC,True,0DD300046E|1400|F6M1
INV-00004,0DD300047D,WH-01,A-12,A-12-14-1,0,0,0,0,0,2026-07-20 05:46:34+00:00,0DD300047D|1400|D0M1,2026-07-17 02:17:12.966977 UTC,L,2026-07-17 02:17:12.966977 UTC,0DD300047D,1400,D0M1,DL,,2025,05,,0,ST,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000,20240820,Kassel,0DD300047D,D0M1,2026-07-17 06:05:41.813636 UTC,True,0DD300047D|1400|D0M1
INV-00005,0DD300047K,WH-01,A-12,A-12-18-2,0,0,0,0,0,2026-07-19 18:38:34+00:00,0DD300047K|1400|F759,2026-07-17 02:17:43.125366 UTC,L,2026-07-17 02:17:43.125366 UTC,0DD300047K,1400,F759,DL,,2026,07,,0,ST,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000,20240430,Kassel,0DD300047K,F759,2026-07-17 06:05:41.813636 UTC,True,0DD300047K|1400|F759
INV-00006,0DD300047Q,WH-01,HZ-02,HZ-02-11-3,0,0,0,0,0,2026-07-20 05:27:34+00:00,0DD300047Q|1400|XNM1,2026-07-17 02:17:22.915108 UTC,L,2026-07-17 02:17:22.915108 UTC,0DD300047Q,1400,XNM1,DL,,2025,10,,0,ST,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000,20240515,Kassel,0DD300047Q,XNM1,2026-07-17 06:05:41.813636 UTC,True,0DD300047Q|1400|XNM1
INV-00007,0DD300048C,WH-01,JIS-07,JIS-07-02-1,0,0,0,0,0,2026-07-19 19:42:34+00:00,0DD300048C|1400|XDM1,2026-07-17 02:17:53.120606 UTC,L,2026-07-17 02:17:53.120606 UTC,0DD300048C,1400,XDM1,DL,,2025,07,,0,ST,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000,20250314,Kassel,0DD300048C,XDM1,2026-07-17 06:05:41.813636 UTC,True,0DD300048C|1400|XDM1
INV-00008,0DD311159B       0340,WH-01,A-12,A-12-15-2,0,0,0,0,0,2026-07-20 05:37:34+00:00,0DD311159B       0340|1400|D0M1,2026-07-17 02:17:12.966977 UTC,L,2026-07-17 02:17:12.966977 UTC,0DD311159B       0340,1400,D0M1,DL,,2024,04,,0.0,ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000,20240404,Kassel,0DD311159B       0340,D0M1,2026-07-17 06:05:41.813636 UTC,True,0DD311159B       0340|1400|D0M1
INV-00009,0DD311159B       0340,WH-02,A-12,A-12-15-3,0,0,0,0,0,2026-07-19 21:17:34+00:00,0DD311159B       0340|1400|S1M1,2026-07-17 02:17:22.915108 UTC,L,2026-07-17 02:17:22.915108 UTC,0DD311159B       0340,1400,S1M1,DL,,2024,04,,0.0,ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000,20240404,Kassel,0DD311159B       0340,S1M1,2026-07-17 06:05:41.813636 UTC,True,0DD311159B       0340|1400|S1M1
INV-00010,0DD300040D,WH-01,JIS-07,JIS-07-04-1,0,0,0,0,0,2026-07-19 18:45:34+00:00,0DD300040D|1400|XNM1,2026-07-17 02:17:32.995343 UTC,L,2026-07-17 02:17:32.995343 UTC,0DD300040D,1400,XNM1,DL,,2025,07,,0.0,ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000,20221024,Kassel,0DD300040D,XNM1,2026-07-17 06:05:41.813636 UTC,True,0DD300040D|1400|XNM1
