id,description,family,weight_kg,wms_weight_kg,erp_weight_kg,fitment_wms,fitment_erp,storage_class,hazmat,supplier,bin,bin_active,reorder_point,safety_stock
0DD300040C,Clutch actuator Gen 2,Powertrain,11.11,11.11,11.11,LH,LH,ambient,False,SUP-139,A-12-08,True,68,51
0DD300040D,Torque converter Premium,Powertrain,19.94,19.94,19.94,RH,RH,ambient,False,SUP-184,JIS-07-04,True,129,50
0DD300040E,Brake fluid reservoir Gen 2,Fluids,9.16,9.16,9.16,RH,RH,hazmat,False,SUP-011,HZ-02-15,True,70,79
0DD300046C,Gear selector LH,Powertrain,16.1,16.1,16.1,RH,RH,ambient,False,SUP-047,JIS-07-17,True,169,45
0DD300046E,Wiring harness assembly JIS,Interior,12.53,12.53,12.53,LH,RH,ambient,False,SUP-051,JIS-07-15,True,84,84
0DD300046F,Coolant additive Premium,Fluids,9.83,9.83,9.83,RH,RH,ambient,False,SUP-075,A-12-14,True,117,29
0DD300046G,Washer concentrate RH,Fluids,12.39,12.39,12.39,RH,RH,ambient,False,SUP-177,HZ-02-11,True,121,56
0DD300046H,Brake line manifold Premium,Chassis,20.36,20.36,20.36,LH,LH,ambient,False,SUP-200,B-07-02,True,208,74
0DD300046J,Door trim panel Premium,Interior,22.05,22.05,22.05,LH,LH,ambient,False,SUP-186,B-07-07,True,94,56
0DD300046K,Torque converter Gen 2,Powertrain,7.06,7.06,7.06,LH,LH,ambient,False,SUP-034,A-12-10,True,159,65
0DD300046K MBZ,Steering knuckle RH,Chassis,18.73,18.73,18.73,RH,RH,ambient,False,SUP-127,B-07-11,True,103,42
0DD300046L,Control arm Gen 2,Chassis,8.69,8.69,8.69,LH,LH,ambient,False,SUP-054,A-12-09,True,194,71
0DD300046M,Wheel carrier RH,Chassis,24.0,24.0,24.0,RH,RH,ambient,False,SUP-021,JIS-07-13,True,161,74
0DD300046N,Camera harness Gen 2,Electronics,20.81,20.81,20.81,LH,LH,ambient,False,SUP-035,HZ-02-05,True,171,57
0DD300046P,Sealant cartridge RH,Fluids,9.88,9.88,9.88,RH,RH,hazmat,True,SUP-021,A-12-11,True,138,31
0DD300046Q,Torque converter LH,Powertrain,2.04,2.04,2.04,RH,RH,ambient,False,SUP-059,JIS-07-06,True,84,34
0DD300046R,Fuel rail LH,Powertrain,9.24,9.24,9.24,LH,LH,ambient,False,SUP-120,Q-04-04,True,168,81
0DD300046S,Clutch actuator RH,Powertrain,11.17,11.17,11.17,LH,LH,ambient,False,SUP-090,HZ-02-18,True,65,51
0DD300046T,Brake fluid reservoir LH,Fluids,3.48,3.48,3.48,RH,RH,ambient,False,SUP-042,A-12-08,True,71,44
0DD300047A,ECU control module Gen 2,Electronics,20.9,20.9,20.9,RH,RH,ambient,False,SUP-093,A-12-09,True,130,70
0DD300047B,Steering knuckle LH,Chassis,1.17,1.17,1.17,LH,LH,ambient,False,SUP-137,A-12-05,True,84,79
0DD300047D,Wheel carrier Gen 2,Chassis,20.66,20.66,20.66,RH,RH,ambient,False,SUP-151,A-12-14,True,137,65
0DD300047E,Brake fluid reservoir Gen 2,Fluids,14.79,14.79,14.79,LH,LH,hazmat,True,SUP-073,HZ-02-14,True,174,56
0DD300047F,Gear selector Premium,Powertrain,24.34,24.34,24.34,RH,RH,ambient,False,SUP-068,A-12-10,True,165,72
0DD300047G,Fuel rail Premium,Powertrain,9.36,9.36,9.36,RH,RH,ambient,False,SUP-189,A-12-15,True,89,61
0DD300047H,Washer concentrate RH,Fluids,23.08,23.08,23.08,LH,LH,ambient,False,SUP-098,JIS-07-11,True,70,70
0DD300047J,Washer concentrate Premium,Fluids,5.85,5.85,5.85,LH,LH,ambient,False,SUP-181,A-12-16,True,86,65
0DD300047K,Gear selector Gen 2,Powertrain,8.7,8.7,8.7,RH,RH,ambient,False,SUP-049,A-12-18,True,138,57
0DD300047L,Console module Premium,Interior,8.09,8.09,8.09,LH,LH,ambient,False,SUP-108,A-12-09,True,182,61
0DD300047M,Washer concentrate Gen 2,Fluids,12.52,12.52,12.52,RH,RH,ambient,False,SUP-139,JIS-07-17,True,163,48
0DD300047N,Door trim panel LH,Interior,23.56,23.56,23.56,LH,LH,ambient,False,SUP-198,A-12-11,True,140,28
0DD300047P,Fuel rail Premium,Powertrain,13.55,13.55,13.55,RH,RH,ambient,False,SUP-123,Q-04-08,True,75,41
0DD300047Q,Control arm Premium,Chassis,20.51,20.51,20.51,RH,RH,ambient,False,SUP-169,HZ-02-11,True,195,39
0DD300047R,Steering knuckle LH,Chassis,19.77,19.77,19.77,RH,RH,ambient,False,SUP-104,A-12-18,True,218,86
0DD300047S,Fuel rail RH,Powertrain,23.35,23.35,23.35,RH,RH,ambient,False,SUP-178,B-07-02,True,157,75
0DD300047T,Torque converter Gen 2,Powertrain,8.09,8.09,8.09,RH,RH,ambient,False,SUP-187,JIS-07-08,True,89,75
0DD300048,Brake fluid reservoir RH,Fluids,10.59,10.59,10.59,RH,RH,ambient,False,SUP-068,A-12-15,True,177,47
0DD300048A,Clutch actuator LH,Powertrain,17.01,17.01,17.01,LH,LH,ambient,False,SUP-019,JIS-07-08,True,161,55
0DD300048B,Wheel carrier LH,Chassis,23.97,23.97,23.97,LH,LH,ambient,False,SUP-198,B-07-07,True,145,62
0DD300048C,Seat rail RH,Interior,13.89,13.89,13.89,LH,LH,ambient,False,SUP-176,JIS-07-02,True,205,66
0DD300048D,Fuel rail RH,Powertrain,2.81,2.81,2.81,LH,LH,ambient,False,SUP-089,B-07-05,True,67,28
0DD300048E,Control arm Gen 2,Chassis,16.09,16.09,16.09,LH,LH,ambient,False,SUP-127,B-07-15,True,124,69
0DD300048F,Washer concentrate Gen 2,Fluids,3.34,3.34,3.34,RH,RH,ambient,False,SUP-169,JIS-07-01,True,116,84
