"vwgl_matstorloc_id","vwgl_matstorloc_valid_from","__operation_type","__timestamp","material","plant","storagelocation","maintenancestatus","deletionflag","fiscalyearofcurrentperiod","currentperiod","physicalinventoryblockingind","freeavailablestock","baseunit","stockintransfer","stockinqualityinspection","totalstockofallrestrbatches","blockedstock","blockedstockreturns","valunrestusestockprevper","stockintransferprevper","stockinqualityinsprevper","restrictedusestockprevper","blockedstockprevper","blockedstockreturnsprevper","dateoflastpostedcount","creationdate","instance","i_product","i_storagelocation","etl_aend_tstamp"
"0DD300040E|1400|FBM1","2026-07-17 02:17:32.995343 UTC","L","2026-07-17 02:17:32.995343 UTC","0DD300040E","1400","FBM1","DL","","2023","02","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20230216","Kassel","0DD300040E","FBM1","2026-07-17 06:05:41.813636 UTC"
"0DD300040E|1400|XN12","2026-07-17 02:17:22.915108 UTC","L","2026-07-17 02:17:22.915108 UTC","0DD300040E","1400","XN12","DL","","2025","07","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20240514","Kassel","0DD300040E","XN12","2026-07-17 06:05:41.813636 UTC"
"0DD300046E|1400|F6M1","2026-07-17 02:17:32.995343 UTC","L","2026-07-17 02:17:32.995343 UTC","0DD300046E","1400","F6M1","DL","","2024","04","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20230216","Kassel","0DD300046E","F6M1","2026-07-17 06:05:41.813636 UTC"
"0DD300047D|1400|D0M1","2026-07-17 02:17:12.966977 UTC","L","2026-07-17 02:17:12.966977 UTC","0DD300047D","1400","D0M1","DL","","2025","05","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20240820","Kassel","0DD300047D","D0M1","2026-07-17 06:05:41.813636 UTC"
"0DD300047K|1400|F759","2026-07-17 02:17:43.125366 UTC","L","2026-07-17 02:17:43.125366 UTC","0DD300047K","1400","F759","DL","","2026","07","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20240430","Kassel","0DD300047K","F759","2026-07-17 06:05:41.813636 UTC"
"0DD300047Q|1400|XNM1","2026-07-17 02:17:22.915108 UTC","L","2026-07-17 02:17:22.915108 UTC","0DD300047Q","1400","XNM1","DL","","2025","10","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20240515","Kassel","0DD300047Q","XNM1","2026-07-17 06:05:41.813636 UTC"
"0DD300048C|1400|XDM1","2026-07-17 02:17:53.120606 UTC","L","2026-07-17 02:17:53.120606 UTC","0DD300048C","1400","XDM1","DL","","2025","07","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20250314","Kassel","0DD300048C","XDM1","2026-07-17 06:05:41.813636 UTC"
"0DD311159B       0340|1400|D0M1","2026-07-17 02:17:12.966977 UTC","L","2026-07-17 02:17:12.966977 UTC","0DD311159B       0340","1400","D0M1","DL","","2024","04","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20240404","Kassel","0DD311159B       0340","D0M1","2026-07-17 06:05:41.813636 UTC"
"0DD311159B       0340|1400|S1M1","2026-07-17 02:17:22.915108 UTC","L","2026-07-17 02:17:22.915108 UTC","0DD311159B       0340","1400","S1M1","DL","","2024","04","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20240404","Kassel","0DD311159B       0340","S1M1","2026-07-17 06:05:41.813636 UTC"
"0DD300040D|1400|XNM1","2026-07-17 02:17:32.995343 UTC","L","2026-07-17 02:17:32.995343 UTC","0DD300040D","1400","XNM1","DL","","2025","07","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20221024","Kassel","0DD300040D","XNM1","2026-07-17 06:05:41.813636 UTC"
"0DD300040E|1400|XZM1","2026-07-17 02:17:32.995343 UTC","L","2026-07-17 02:17:32.995343 UTC","0DD300040E","1400","XZM1","DL","","2022","10","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20221024","Kassel","0DD300040E","XZM1","2026-07-17 06:05:41.813636 UTC"
"0DD300046C|1400|S0M6","2026-07-17 02:17:32.995343 UTC","L","2026-07-17 02:17:32.995343 UTC","0DD300046C","1400","S0M6","DL","","2023","02","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20230216","Kassel","0DD300046C","S0M6","2026-07-17 06:05:41.813636 UTC"
"0DD300046H|1400|XNM2","2026-07-17 02:17:32.995343 UTC","L","2026-07-17 02:17:32.995343 UTC","0DD300046H","1400","XNM2","DL","","2022","10","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20221024","Kassel","0DD300046H","XNM2","2026-07-17 06:05:41.813636 UTC"
"0DD300047H|1400|F6M1","2026-07-17 02:17:56.573889 UTC","L","2026-07-17 02:17:56.573889 UTC","0DD300047H","1400","F6M1","DL","","2024","04","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20231115","Kassel","0DD300047H","F6M1","2026-07-17 06:05:41.813636 UTC"
"0DD300047J|1400|D0M1","2026-07-17 02:17:12.966977 UTC","L","2026-07-17 02:17:12.966977 UTC","0DD300047J","1400","D0M1","DL","","2026","07","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20240103","Kassel","0DD300047J","D0M1","2026-07-17 06:05:41.813636 UTC"
"0DD300047N|1400|S6M1","2026-07-17 02:17:22.915108 UTC","L","2026-07-17 02:17:22.915108 UTC","0DD300047N","1400","S6M1","DL","","2024","07","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20240710","Kassel","0DD300047N","S6M1","2026-07-17 06:05:41.813636 UTC"
"0DD300047Q|1400|XNM2","2026-07-17 02:17:22.915108 UTC","L","2026-07-17 02:17:22.915108 UTC","0DD300047Q","1400","XNM2","DL","","2024","05","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20240515","Kassel","0DD300047Q","XNM2","2026-07-17 06:05:41.813636 UTC"
"0DD300046F|1400|XZM1","2026-07-17 02:17:32.995343 UTC","L","2026-07-17 02:17:32.995343 UTC","0DD300046F","1400","XZM1","DL","","2022","10","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20221024","Kassel","0DD300046F","XZM1","2026-07-17 06:05:41.813636 UTC"
"0DD300046K|1400|F4M1","2026-07-17 02:17:32.995343 UTC","L","2026-07-17 02:17:32.995343 UTC","0DD300046K","1400","F4M1","DL","","2023","02","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20230216","Kassel","0DD300046K","F4M1","2026-07-17 06:05:41.813636 UTC"
"0DD300046N|1400|XNM2","2026-07-17 02:17:53.120606 UTC","L","2026-07-17 02:17:53.120606 UTC","0DD300046N","1400","XNM2","DL","","2023","02","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20230215","Kassel","0DD300046N","XNM2","2026-07-17 06:05:41.813636 UTC"
"0DD300046S|1400|XNQA","2026-07-17 02:17:43.125366 UTC","L","2026-07-17 02:17:43.125366 UTC","0DD300046S","1400","XNQA","DL","","2025","10","","1","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20251026","Kassel","0DD300046S","XNQA","2026-07-17 06:05:41.813636 UTC"
"0DD300047E|1400|XZM1","2026-07-17 02:17:32.995343 UTC","L","2026-07-17 02:17:32.995343 UTC","0DD300047E","1400","XZM1","DL","","2024","08","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20240820","Kassel","0DD300047E","XZM1","2026-07-17 06:05:41.813636 UTC"
"0DD300047K|1400|F6M1","2026-07-17 02:17:22.915108 UTC","L","2026-07-17 02:17:22.915108 UTC","0DD300047K","1400","F6M1","DL","","2024","04","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20240109","Kassel","0DD300047K","F6M1","2026-07-17 06:05:41.813636 UTC"
"0DD300047M|1400|D0M1","2026-07-17 02:17:12.966977 UTC","L","2026-07-17 02:17:12.966977 UTC","0DD300047M","1400","D0M1","DL","","2025","02","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20240605","Kassel","0DD300047M","D0M1","2026-07-17 06:05:41.813636 UTC"
"0DD300048|1400|BN03","2026-07-17 02:17:43.125366 UTC","L","2026-07-17 02:17:43.125366 UTC","0DD300048","1400","BN03","DL","","2025","07","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20250129","Kassel","0DD300048","BN03","2026-07-17 06:05:41.813636 UTC"
"0DD311159B|1400|S1M1","2026-07-17 02:17:32.995343 UTC","L","2026-07-17 02:17:32.995343 UTC","0DD311159B","1400","S1M1","DL","","2023","02","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20230216","Kassel","0DD311159B","S1M1","2026-07-17 06:05:41.813636 UTC"
"0DD311159C|1400|F4M1","2026-07-17 02:17:32.995343 UTC","L","2026-07-17 02:17:32.995343 UTC","0DD311159C","1400","F4M1","DL","","2023","02","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20230216","Kassel","0DD311159C","F4M1","2026-07-17 06:05:41.813636 UTC"
"0DD300046F|1400|F1M1","2026-07-17 02:17:32.995343 UTC","L","2026-07-17 02:17:32.995343 UTC","0DD300046F","1400","F1M1","DL","","2023","02","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20230216","Kassel","0DD300046F","F1M1","2026-07-17 06:05:41.813636 UTC"
"0DD300047L|1400|XDM1","2026-07-17 02:17:22.915108 UTC","L","2026-07-17 02:17:22.915108 UTC","0DD300047L","1400","XDM1","DL","","2024","01","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20240103","Kassel","0DD300047L","XDM1","2026-07-17 06:05:41.813636 UTC"
"0DD300047T|1400|XNQA","2026-07-17 02:17:43.125366 UTC","L","2026-07-17 02:17:43.125366 UTC","0DD300047T","1400","XNQA","DL","","2026","02","","1","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20251026","Kassel","0DD300047T","XNQA","2026-07-17 06:05:41.813636 UTC"
"0DD300048J|1400|F759","2026-07-17 02:17:53.120606 UTC","L","2026-07-17 02:17:53.120606 UTC","0DD300048J","1400","F759","DL","","2026","07","","4","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20260511","Kassel","0DD300048J","F759","2026-07-17 06:05:41.813636 UTC"
"0DD311158B|1400|F759","2026-07-17 02:17:43.125366 UTC","L","2026-07-17 02:17:43.125366 UTC","0DD311158B","1400","F759","DL","","2026","07","","349","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20240429","Kassel","0DD311158B","F759","2026-07-17 06:05:41.813636 UTC"
"0DD311158C|1400|W0M6","2026-07-17 02:17:32.995343 UTC","L","2026-07-17 02:17:32.995343 UTC","0DD311158C","1400","W0M6","DL","","2023","02","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20230216","Kassel","0DD311158C","W0M6","2026-07-17 06:05:41.813636 UTC"
"0DD311159C|1400|S1M1","2026-07-17 02:17:32.995343 UTC","L","2026-07-17 02:17:32.995343 UTC","0DD311159C","1400","S1M1","DL","","2023","02","","0","ST","0","0","0","0","0","0","0","0","0","0","0","00000000","20230216","Kassel","0DD311159C","S1M1","2026-07-17 06:05:41.813636 UTC"
