id,customer,sku,ordered_qty,picked_qty,shipped_qty,promised_at,warehouse,pick_status,priority
ORD-000001,Plant-12,PO-1241-4115,136,57,0,2026-07-20T05:00:52+00:00,WH-01,in_progress,3
ORD-000002,Plant-17,IN-6871-4085,53,24,0,2026-07-26T05:00:52+00:00,WH-02,in_progress,9
ORD-000003,Plant-48,CH-4476-4759,34,10,0,2026-07-21T11:00:52+00:00,WH-02,pending,4
ORD-000004,Plant-19,IN-8632-3250,130,13,0,2026-07-20T07:00:52+00:00,WH-01,in_progress,4
ORD-000005,Plant-14,PO-9587-2922,109,75,0,2026-07-25T03:00:52+00:00,WH-01,completed,8
ORD-000006,Plant-03,EL-2066-283,79,36,0,2026-07-25T05:00:52+00:00,WH-01,completed,1
ORD-000007,Plant-05,FL-7163-2489,80,43,0,2026-07-23T00:00:52+00:00,WH-02,completed,9
ORD-000008,Plant-39,CH-8084-923,91,36,0,2026-07-26T15:00:52+00:00,WH-02,in_progress,1
ORD-000009,Plant-19,PO-2563-282,93,41,0,2026-07-24T18:00:52+00:00,WH-01,completed,1
ORD-000010,Plant-32,EL-2058-2625,93,49,0,2026-07-20T08:00:52+00:00,WH-01,in_progress,6
ORD-000011,Plant-09,PO-4560-1046,149,78,0,2026-07-24T17:00:52+00:00,WH-01,completed,8
ORD-000012,Plant-11,PO-2249-2693,16,1,0,2026-07-25T00:00:52+00:00,WH-02,completed,6
ORD-000013,Plant-14,CH-2187-3314,22,20,0,2026-07-24T01:00:52+00:00,WH-02,in_progress,9
ORD-000014,Plant-20,EL-5926-1606,97,93,0,2026-07-23T01:00:52+00:00,WH-01,pending,10
ORD-000015,Plant-06,CH-7780-1598,107,58,0,2026-07-20T22:00:52+00:00,WH-02,in_progress,6
ORD-000016,Plant-46,PO-1752-3822,119,118,0,2026-07-22T07:00:52+00:00,WH-01,in_progress,9
ORD-000017,Plant-48,IN-5387-850,53,14,0,2026-07-22T01:00:52+00:00,WH-02,completed,1
ORD-000018,Plant-29,FL-9119-4481,31,9,0,2026-07-22T13:00:52+00:00,WH-01,in_progress,10
ORD-000019,Plant-44,IN-2973-3967,147,103,0,2026-07-21T18:00:52+00:00,WH-01,pending,6
ORD-000020,Plant-46,IN-1597-1867,115,71,0,2026-07-23T00:00:52+00:00,WH-01,pending,5
ORD-000021,Plant-45,CH-7671-1510,48,25,0,2026-07-19T23:00:52+00:00,WH-01,in_progress,7
ORD-000022,Plant-07,PO-6050-2864,20,8,0,2026-07-20T03:00:52+00:00,WH-02,pending,7
ORD-000023,Plant-19,EL-5771-1500,20,18,0,2026-07-26T10:00:52+00:00,WH-02,completed,10
ORD-000024,Plant-06,IN-9498-904,8,3,0,2026-07-24T05:00:52+00:00,WH-01,in_progress,1
ORD-000025,Plant-15,IN-1796-2559,55,42,0,2026-07-24T22:00:52+00:00,WH-01,pending,4
ORD-000026,Plant-30,FL-3308-3877,73,22,0,2026-07-25T04:00:52+00:00,WH-01,completed,4
ORD-000027,Plant-47,EL-3174-4595,46,38,0,2026-07-21T08:00:52+00:00,WH-01,in_progress,10
ORD-000028,Plant-34,PO-1862-3460,136,15,0,2026-07-20T07:00:52+00:00,WH-01,completed,10
ORD-000029,Plant-23,CH-9868-4341,47,40,0,2026-07-26T08:00:52+00:00,WH-02,in_progress,5
ORD-000030,Plant-22,FL-4472-4623,50,34,0,2026-07-25T23:00:52+00:00,WH-02,in_progress,9
ORD-000031,Plant-25,CH-7745-2879,142,73,0,2026-07-26T07:00:52+00:00,WH-02,pending,10
ORD-000032,Plant-19,CH-3303-2831,86,84,0,2026-07-23T03:00:52+00:00,WH-02,completed,4
ORD-000033,Plant-16,PO-1302-2055,129,122,0,2026-07-24T22:00:52+00:00,WH-02,in_progress,7
ORD-000034,Plant-26,PO-7539-2991,71,26,0,2026-07-24T20:00:52+00:00,WH-02,in_progress,3
ORD-000035,Plant-35,PO-3702-2377,110,5,0,2026-07-20T10:00:52+00:00,WH-01,in_progress,6
ORD-000036,Plant-20,EL-2367-1439,84,58,0,2026-07-23T20:00:52+00:00,WH-02,in_progress,9
ORD-000037,Plant-47,CH-4302-3171,121,2,0,2026-07-24T20:00:52+00:00,WH-01,pending,1
ORD-000038,Plant-37,FL-3573-3945,114,108,0,2026-07-21T01:00:52+00:00,WH-01,pending,4
ORD-000039,Plant-36,EL-5432-2024,123,12,0,2026-07-22T22:00:52+00:00,WH-02,completed,8
ORD-000040,Plant-33,FL-6078-4053,65,14,0,2026-07-25T08:00:52+00:00,WH-01,pending,10
ORD-000041,Plant-20,EL-7124-3810,65,29,0,2026-07-20T18:00:52+00:00,WH-02,pending,8
ORD-000042,Plant-06,FL-8586-3961,94,3,0,2026-07-22T22:00:52+00:00,WH-02,in_progress,9
ORD-000043,Plant-22,FL-1402-2236,15,11,0,2026-07-19T23:00:52+00:00,WH-02,pending,5
ORD-000044,Plant-33,FL-8708-4803,41,21,0,2026-07-26T14:00:52+00:00,WH-01,pending,2
ORD-000045,Plant-45,FL-9150-874,43,1,0,2026-07-26T07:00:52+00:00,WH-01,in_progress,3
ORD-000046,Plant-09,EL-6733-2806,135,68,0,2026-07-25T15:00:52+00:00,WH-01,in_progress,10
ORD-000047,Plant-28,EL-3574-2043,95,68,0,2026-07-24T00:00:52+00:00,WH-01,pending,7
ORD-000048,Plant-02,IN-6154-451,68,2,0,2026-07-25T06:00:52+00:00,WH-01,in_progress,2
ORD-000049,Plant-11,EL-6733-2806,114,51,0,2026-07-21T07:00:52+00:00,WH-01,pending,7
ORD-000050,Plant-12,PO-7544-3593,59,8,0,2026-07-21T03:00:52+00:00,WH-01,pending,9
ORD-000051,Plant-22,CH-3285-1489,90,6,0,2026-07-24T08:00:52+00:00,WH-01,in_progress,9
ORD-000052,Plant-34,PO-3816-2969,68,35,0,2026-07-24T11:00:52+00:00,WH-02,completed,1
ORD-000053,Plant-18,EL-6125-3911,79,0,0,2026-07-25T22:00:52+00:00,WH-02,completed,6
ORD-000054,Plant-29,FL-4799-129,147,13,0,2026-07-25T05:00:52+00:00,WH-01,completed,3
ORD-000055,Plant-36,FL-9634-1192,105,98,0,2026-07-19T19:00:52+00:00,WH-02,completed,1
ORD-000056,Plant-21,FL-7091-2282,132,54,0,2026-07-25T07:00:52+00:00,WH-02,completed,5
ORD-000057,Plant-02,CH-2729-2577,106,26,0,2026-07-25T18:00:52+00:00,WH-01,pending,4
ORD-000058,Plant-48,PO-7114-1634,107,77,0,2026-07-23T15:00:52+00:00,WH-01,in_progress,4
ORD-000059,Plant-18,CH-9396-1542,101,53,0,2026-07-25T06:00:52+00:00,WH-01,pending,6
ORD-000060,Plant-27,FL-9689-3776,54,9,0,2026-07-20T01:00:52+00:00,WH-02,completed,1
ORD-000061,Plant-25,CH-3362-562,75,47,0,2026-07-24T06:00:52+00:00,WH-01,completed,1
ORD-000062,Plant-39,EL-3025-2703,52,14,0,2026-07-21T00:00:52+00:00,WH-02,completed,2
ORD-000063,Plant-25,PO-7666-003,26,14,0,2026-07-22T01:00:52+00:00,WH-02,in_progress,9
ORD-000064,Plant-36,PO-4466-2721,137,59,0,2026-07-19T23:00:52+00:00,WH-02,pending,7
ORD-000065,Plant-31,EL-2903-4338,69,19,0,2026-07-25T22:00:52+00:00,WH-01,in_progress,6
ORD-000066,Plant-44,IN-1767-2799,139,5,0,2026-07-25T08:00:52+00:00,WH-02,in_progress,8
ORD-000067,Plant-48,IN-2750-3885,108,6,0,2026-07-25T16:00:52+00:00,WH-02,in_progress,8
ORD-000068,Plant-48,IN-9783-3964,44,12,0,2026-07-24T07:00:52+00:00,WH-02,completed,5
ORD-000069,Plant-01,CH-1785-1866,29,27,0,2026-07-22T10:00:52+00:00,WH-02,pending,2
ORD-000070,Plant-33,IN-5055-1082,127,65,0,2026-07-20T14:00:52+00:00,WH-02,pending,2
ORD-000071,Plant-32,EL-3596-2002,10,3,0,2026-07-25T04:00:52+00:00,WH-02,pending,3
ORD-000072,Plant-20,PO-6583-4893,134,58,0,2026-07-26T04:00:52+00:00,WH-02,pending,9
ORD-000073,Plant-35,PO-3423-2678,130,97,0,2026-07-25T00:00:52+00:00,WH-01,in_progress,6
ORD-000074,Plant-31,CH-2680-1915,88,14,0,2026-07-26T06:00:52+00:00,WH-02,pending,7
ORD-000075,Plant-36,CH-2857-4718,19,15,0,2026-07-24T16:00:52+00:00,WH-02,in_progress,9
ORD-000076,Plant-31,FL-1737-589,57,42,0,2026-07-20T18:00:52+00:00,WH-01,in_progress,3
ORD-000077,Plant-46,EL-1620-2653,59,40,0,2026-07-25T21:00:52+00:00,WH-02,completed,3
ORD-000078,Plant-37,PO-3450-3044,105,80,0,2026-07-23T02:00:52+00:00,WH-02,in_progress,9
ORD-000079,Plant-38,CH-6658-1121,28,6,0,2026-07-20T10:00:52+00:00,WH-02,in_progress,4
ORD-000080,Plant-27,CH-6927-4388,36,33,0,2026-07-26T04:00:52+00:00,WH-02,in_progress,1
ORD-000081,Plant-33,EL-9593-2168,76,16,0,2026-07-24T21:00:52+00:00,WH-01,completed,10
ORD-000082,Plant-01,EL-6817-036,68,17,0,2026-07-21T05:00:52+00:00,WH-01,pending,6
ORD-000083,Plant-07,PO-6675-3847,149,144,0,2026-07-23T21:00:52+00:00,WH-01,pending,2
ORD-000084,Plant-21,EL-6786-400,36,28,0,2026-07-24T07:00:52+00:00,WH-01,completed,8
ORD-000085,Plant-37,CH-5185-4658,32,16,0,2026-07-21T00:00:52+00:00,WH-02,completed,8
ORD-000086,Plant-04,FL-1355-4278,116,105,0,2026-07-23T11:00:52+00:00,WH-02,completed,1
ORD-000087,Plant-09,IN-3041-1456,88,0,0,2026-07-23T14:00:52+00:00,WH-02,in_progress,4
ORD-000088,Plant-46,IN-8190-4717,43,0,0,2026-07-25T17:00:52+00:00,WH-02,pending,7
ORD-000089,Plant-22,EL-7595-3848,87,45,0,2026-07-21T03:00:52+00:00,WH-02,pending,4
ORD-000090,Plant-20,IN-3804-1337,60,54,0,2026-07-24T03:00:52+00:00,WH-02,completed,4
ORD-000091,Plant-27,EL-3938-150,90,3,0,2026-07-22T03:00:52+00:00,WH-01,completed,8
ORD-000092,Plant-02,FL-8889-1204,123,26,0,2026-07-25T11:00:52+00:00,WH-02,completed,8
ORD-000093,Plant-37,PO-7806-2481,119,34,0,2026-07-25T14:00:52+00:00,WH-02,completed,4
ORD-000094,Plant-33,CH-6231-3834,108,35,0,2026-07-23T07:00:52+00:00,WH-02,in_progress,6
ORD-000095,Plant-34,EL-5610-1280,91,44,0,2026-07-26T10:00:52+00:00,WH-01,completed,10
ORD-000096,Plant-37,CH-6105-1976,119,88,0,2026-07-25T16:00:52+00:00,WH-02,completed,9
ORD-000097,Plant-09,IN-6281-606,109,75,0,2026-07-21T15:00:52+00:00,WH-01,in_progress,2
ORD-000098,Plant-35,IN-3446-3500,41,8,0,2026-07-25T21:00:52+00:00,WH-01,completed,5
ORD-000099,Plant-26,FL-5763-386,137,90,0,2026-07-23T10:00:52+00:00,WH-01,pending,6
ORD-000100,Plant-16,IN-6379-3206,146,20,0,2026-07-24T01:00:52+00:00,WH-02,in_progress,2
ORD-000101,Plant-05,EL-7425-2628,122,90,0,2026-07-23T02:00:52+00:00,WH-02,pending,7
ORD-000102,Plant-06,EL-5028-4357,92,31,0,2026-07-23T16:00:52+00:00,WH-01,completed,9
ORD-000103,Plant-45,IN-5402-3222,82,2,0,2026-07-20T06:00:52+00:00,WH-02,completed,7
ORD-000104,Plant-44,EL-8100-2361,64,17,0,2026-07-23T00:00:52+00:00,WH-02,in_progress,7
ORD-000105,Plant-02,CH-1163-1418,125,74,0,2026-07-25T12:00:52+00:00,WH-01,pending,7
ORD-000106,Plant-14,EL-5714-4139,135,27,0,2026-07-23T19:00:52+00:00,WH-01,pending,10
ORD-000107,Plant-31,CH-6120-1864,66,20,0,2026-07-26T16:00:52+00:00,WH-02,completed,6
ORD-000108,Plant-20,CH-3189-4744,85,32,0,2026-07-25T18:00:52+00:00,WH-01,completed,8
ORD-000109,Plant-45,PO-8273-155,91,2,0,2026-07-20T00:00:52+00:00,WH-02,in_progress,4
ORD-000110,Plant-48,FL-5783-2517,4,2,0,2026-07-25T08:00:52+00:00,WH-02,in_progress,6
ORD-000111,Plant-37,PO-8696-4229,82,73,0,2026-07-23T04:00:52+00:00,WH-01,completed,7
ORD-000112,Plant-17,CH-1611-356,51,14,0,2026-07-24T22:00:52+00:00,WH-02,completed,2
ORD-000113,Plant-44,PO-5871-1331,130,39,0,2026-07-24T07:00:52+00:00,WH-01,in_progress,9
ORD-000114,Plant-23,FL-7709-4737,26,24,0,2026-07-25T12:00:52+00:00,WH-01,in_progress,3
ORD-000115,Plant-12,EL-1215-4798,109,27,0,2026-07-23T02:00:52+00:00,WH-01,pending,9
ORD-000116,Plant-29,PO-6902-201,145,123,0,2026-07-24T00:00:52+00:00,WH-02,pending,7
ORD-000117,Plant-25,PO-9169-3557,4,4,0,2026-07-23T13:00:52+00:00,WH-02,in_progress,1
ORD-000118,Plant-10,PO-4205-510,22,20,0,2026-07-21T15:00:52+00:00,WH-02,in_progress,3
