id,name,configured_lead,actual_lead,reliability
SUP-001,Nordwerk Components,5,4.0,0.92
SUP-002,RheinMotion Systems,7,4.9,0.94
SUP-003,Autotec Werke,3,4.2,0.91
SUP-004,Vektor Mobility,6,4.4,0.93
SUP-005,Helios Parts,7,5.8,0.96
SUP-006,Hansa Systems 006,3,4.8,0.95
SUP-007,Prisma Systems 007,6,6.7,0.93
SUP-008,Hansa Mobility 008,5,5.4,0.89
SUP-009,Hansa Automotive 009,5,6.1,0.97
SUP-010,Kern Components 010,3,6.3,0.88
SUP-011,Kern Components 011,7,5.4,0.97
SUP-012,Alpine Automotive 012,3,6.0,0.85
SUP-013,Kern Automotive 013,6,3.3,0.87
SUP-014,Motive Mobility 014,3,5.5,0.9
SUP-015,Hansa Components 015,3,5.1,0.9
SUP-016,Prisma Components 016,3,4.8,0.86
SUP-017,Motive Automotive 017,4,5.2,0.96
SUP-018,Motive Systems 018,7,5.9,0.87
SUP-019,Hansa Automotive 019,3,3.6,0.85
SUP-020,Kern Mobility 020,7,5.8,0.89
SUP-021,Motive Automotive 021,3,4.1,0.89
SUP-022,Alpine Mobility 022,7,6.3,0.93
SUP-023,Motive Mobility 023,3,5.2,0.87
SUP-024,Kern Automotive 024,7,4.8,0.92
SUP-025,Alpine Systems 025,7,7.2,0.98
SUP-026,Prisma Components 026,7,4.4,0.84
SUP-027,Kern Components 027,6,7.2,0.97
SUP-028,Alpine Systems 028,3,3.9,0.93
SUP-029,Prisma Mobility 029,6,6.6,0.91
SUP-030,Motive Automotive 030,6,7.3,0.92
SUP-031,Kern Mobility 031,3,6.8,0.93
SUP-032,Prisma Automotive 032,3,4.5,0.92
SUP-033,Hansa Systems 033,7,5.9,0.95
SUP-034,Kern Mobility 034,5,6.2,0.95
SUP-035,Hansa Automotive 035,6,4.7,0.85
SUP-036,Hansa Mobility 036,5,3.7,0.88
SUP-037,Kern Systems 037,6,3.6,0.97
SUP-038,Alpine Systems 038,6,6.8,0.89
SUP-039,Alpine Mobility 039,4,5.4,0.89
SUP-040,Prisma Mobility 040,3,3.7,0.85
SUP-041,Prisma Automotive 041,4,4.3,0.97
