id,worker,zone,shift,task_type,pick_rate,exceptions,overtime_hours,recorded_at
WKR-00001,Operator 055,A-12,A,replenishment,63,1,1.4,2026-06-17T00:06:52+00:00
WKR-00002,Operator 604,Q-04,C,replenishment,70,4,0.9,2026-06-12T22:20:52+00:00
WKR-00003,Operator 461,JIS-07,A,replenishment,49,0,0.8,2026-06-11T14:20:52+00:00
WKR-00004,Operator 194,HZ-02,A,quality,57,2,0.2,2026-05-27T18:35:52+00:00
WKR-00005,Operator 016,A-12,B,packing,77,3,0.6,2026-06-21T16:12:52+00:00
WKR-00006,Operator 154,B-07,A,picking,104,1,0.1,2026-07-19T23:41:52+00:00
WKR-00007,Operator 769,JIS-07,C,quality,42,2,1.4,2026-06-11T21:09:52+00:00
WKR-00008,Operator 204,B-07,C,packing,109,4,0.0,2026-05-26T19:32:52+00:00
WKR-00009,Operator 419,A-12,C,replenishment,66,3,0.2,2026-06-09T23:22:52+00:00
WKR-00010,Operator 599,JIS-07,C,packing,67,4,0.3,2026-06-07T06:28:52+00:00
WKR-00011,Operator 137,HZ-02,C,packing,75,1,0.4,2026-05-26T19:43:52+00:00
WKR-00012,Operator 478,B-07,A,picking,103,2,1.4,2026-07-10T23:01:52+00:00
WKR-00013,Operator 485,B-07,B,quality,49,1,0,2026-06-22T13:15:52+00:00
WKR-00014,Operator 656,A-12,A,replenishment,56,2,0.3,2026-06-30T10:21:52+00:00
WKR-00015,Operator 670,A-12,B,quality,54,3,0,2026-06-06T08:10:52+00:00
WKR-00016,Operator 427,Q-04,C,picking,112,0,0.4,2026-06-18T13:19:52+00:00
WKR-00017,Operator 775,A-12,C,packing,80,3,0.4,2026-06-14T07:19:52+00:00
WKR-00018,Operator 298,JIS-07,B,packing,78,2,0.8,2026-05-30T12:10:52+00:00
WKR-00019,Operator 376,Q-04,A,replenishment,56,1,0.6,2026-05-27T17:17:52+00:00
WKR-00020,Operator 522,JIS-07,B,replenishment,72,1,0.7,2026-07-07T15:42:52+00:00
WKR-00021,Operator 425,A-12,A,replenishment,70,1,0.3,2026-05-25T10:20:52+00:00
WKR-00022,Operator 456,HZ-02,C,packing,74,3,0.5,2026-05-24T01:23:52+00:00
WKR-00023,Operator 284,JIS-07,B,packing,77,4,0.9,2026-06-13T17:17:52+00:00
WKR-00024,Operator 601,HZ-02,C,packing,85,1,1.0,2026-07-06T07:42:52+00:00
WKR-00025,Operator 404,JIS-07,B,replenishment,52,4,0.9,2026-07-08T20:03:52+00:00
WKR-00026,Operator 563,A-12,A,picking,90,4,1.1,2026-05-22T09:56:52+00:00
WKR-00027,Operator 309,B-07,B,replenishment,84,0,0.3,2026-06-27T23:01:52+00:00
WKR-00028,Operator 432,B-07,C,replenishment,77,3,0,2026-06-14T22:37:52+00:00
WKR-00029,Operator 080,HZ-02,B,quality,30,0,0.8,2026-06-30T17:55:52+00:00
WKR-00030,Operator 301,HZ-02,C,packing,67,1,0.2,2026-06-19T15:46:52+00:00
WKR-00031,Operator 069,JIS-07,C,packing,79,4,0,2026-06-04T20:21:52+00:00
WKR-00032,Operator 154,HZ-02,C,packing,81,0,0.6,2026-06-17T04:12:52+00:00
WKR-00033,Operator 050,Q-04,A,quality,48,0,0.3,2026-05-30T02:22:52+00:00
WKR-00034,Operator 267,Q-04,B,packing,88,2,1.0,2026-06-27T22:44:52+00:00
WKR-00035,Operator 616,HZ-02,C,packing,60,1,0.2,2026-07-19T12:45:52+00:00
WKR-00036,Operator 183,Q-04,A,quality,47,4,0.8,2026-07-20T04:26:52+00:00
WKR-00037,Operator 816,JIS-07,B,quality,74,4,0.2,2026-06-03T03:18:52+00:00
WKR-00038,Operator 233,JIS-07,A,picking,91,0,0.4,2026-07-04T12:39:52+00:00
WKR-00039,Operator 067,HZ-02,C,quality,55,2,1.3,2026-05-22T09:18:52+00:00
WKR-00040,Operator 536,JIS-07,B,quality,45,4,0.8,2026-05-31T03:04:52+00:00
WKR-00041,Operator 108,A-12,B,quality,58,3,0.7,2026-05-23T20:53:52+00:00
WKR-00042,Operator 634,JIS-07,B,quality,55,4,0.3,2026-07-08T11:51:52+00:00
WKR-00043,Operator 032,A-12,C,picking,81,3,0.4,2026-07-07T01:07:52+00:00
WKR-00044,Operator 091,HZ-02,A,replenishment,89,4,0.5,2026-05-26T16:05:52+00:00
WKR-00045,Operator 220,JIS-07,A,packing,87,1,0.5,2026-06-19T10:30:52+00:00
WKR-00046,Operator 228,A-12,A,replenishment,60,3,0.3,2026-07-16T06:50:52+00:00
WKR-00047,Operator 662,HZ-02,C,packing,82,2,0.9,2026-06-28T02:01:52+00:00
WKR-00048,Operator 571,Q-04,A,picking,92,1,0.3,2026-05-29T13:40:52+00:00
WKR-00049,Operator 532,Q-04,C,replenishment,65,1,0.2,2026-07-16T17:19:52+00:00
WKR-00050,Operator 295,HZ-02,B,picking,98,4,1.1,2026-06-04T17:17:52+00:00
WKR-00051,Operator 514,B-07,A,quality,47,4,0.3,2026-07-05T17:03:52+00:00
WKR-00052,Operator 036,HZ-02,A,picking,97,4,0.4,2026-05-25T15:00:52+00:00
WKR-00053,Operator 804,A-12,B,quality,64,3,0.2,2026-07-10T21:02:52+00:00
WKR-00054,Operator 113,Q-04,B,replenishment,82,3,0.9,2026-06-10T22:40:52+00:00
